2,6,1578
2,8,1578
2,7,7595
2,9,7595
1,6,16519
1,8,16519
1,5,5828
1,7,5828
2,6,7595
2,8,7595
1,5,1578
1,7,1578
1,5,3284
1,7,3284
1,5,1578
1,7,1578
4,8,10836
4,10,10836
1,6,15336
1,8,15336
1,6,1578
1,8,1578
1,6,2520
1,8,2520
1,5,3794
1,7,3794
1,5,1578
1,7,1578
1,5,2807
1,7,2807
1,5,2692
1,7,2692
1,8,2520
1,10,2520
4,8,32022
4,10,32022
4,8,25051
4,10,25051
2,8,17456
2,10,17456
1,6,23519
1,8,23519
2,7,31057
2,9,31057
2,6,29638
2,8,29638
1,5,15295
1,7,15295
1,6,2986
1,8,2986
3,7,31592
3,9,31592
3,7,32022
3,9,32022
