2,6,8180
2,7,8180
3,8,4068
3,9,4068
4,8,28190
4,9,28190
1,5,4196
1,6,4196
2,7,9714
2,8,9714
2,6,20059
2,7,20059
3,8,23327
3,9,23327
2,6,5413
2,7,5413
1,5,10184
1,6,10184
1,5,4196
1,6,4196
3,7,9714
3,8,9714
1,6,26048
1,7,26048
4,8,36477
4,9,36477
2,6,28190
2,7,28190
2,6,17880
2,7,17880
1,6,35807
1,7,35807
3,8,4068
3,9,4068
2,6,36477
2,7,36477
2,6,15796
2,7,15796
1,6,6186
1,7,6186
6,10,17880
6,11,17880
4,9,23327
4,10,23327
1,5,19339
1,6,19339
1,6,19339
1,7,19339
3,7,28190
3,8,28190
3,7,20059
3,8,20059
2,6,10184
2,7,10184
3,7,9714
3,8,9714
3,9,23327
3,10,23327
3,8,23327
3,9,23327
2,6,5413
2,7,5413
1,6,26048
1,7,26048
2,6,10184
2,7,10184
1,6,44083
1,7,44083
3,7,20059
3,8,20059
3,8,23327
3,9,23327
2,6,20059
2,7,20059
3,8,23327
3,9,23327
3,7,20059
3,8,20059
3,7,20182
3,8,20182
0,4,5413
0,5,5413
9,13,23502
9,14,23502
2,6,4196
2,7,4196
1,6,44083
1,7,44083
0,5,23502
0,6,23502
0,5,4196
0,6,4196
1,6,4196
1,7,4196
5,9,17880
5,10,17880
6,10,17880
6,11,17880
1,6,4196
1,7,4196
4,9,23327
4,10,23327
2,6,44083
2,7,44083
3,7,36477
3,8,36477
2,6,8180
2,7,8180
4,9,23327
4,10,23327
8,12,15796
8,13,15796
3,7,9714
3,8,9714
1,5,19339
1,6,19339
1,5,4196
1,6,4196
4,9,15796
4,10,15796
3,8,23327
3,9,23327
5,9,15796
5,10,15796
3,7,44083
3,8,44083
3,8,23327
3,9,23327
3,7,20059
3,8,20059
4,9,19339
4,10,19339
1,6,4196
1,7,4196
3,9,36477
3,10,36477
2,7,44083
2,8,44083
3,7,35398
3,8,35398
4,8,17880
4,9,17880
4,8,28190
4,9,28190
3,7,23327
3,8,23327
1,5,10184
1,6,10184
1,5,5413
1,6,5413
1,7,5413
1,8,5413
4,9,23327
4,10,23327
5,9,17880
5,10,17880
2,7,35398
2,8,35398
3,7,10184
3,8,10184
2,6,44083
2,7,44083
5,9,17880
5,10,17880
4,9,23327
4,10,23327
2,6,20059
2,7,20059
2,7,23327
2,8,23327
4,8,15796
4,9,15796
5,9,26182
5,10,26182
0,5,23327
0,6,23327
2,7,44083
2,8,44083
2,6,4196
2,7,4196
0,5,4196
0,6,4196
2,6,20059
2,7,20059
4,8,5413
4,9,5413
5,9,17880
5,10,17880
4,8,17880
4,9,17880
3,8,23327
3,9,23327
3,7,17880
3,8,17880
1,5,4196
1,6,4196
3,7,10184
3,8,10184
1,7,36477
1,8,36477
4,9,23327
4,10,23327
5,9,36477
5,10,36477
2,6,17880
2,7,17880
1,6,3012
1,7,3012
1,7,3012
1,8,3012
2,6,28190
2,7,28190
3,7,36895
3,8,36895
3,7,8180
3,8,8180
2,6,19764
2,7,19764
2,7,20182
2,8,20182
1,6,4196
1,7,4196
3,8,4068
3,9,4068
1,6,4196
1,7,4196
4,8,4068
4,9,4068
2,7,36477
2,8,36477
2,6,9714
2,7,9714
1,6,9714
1,7,9714
3,8,23327
3,9,23327
2,6,9714
2,7,9714
2,6,15796
2,7,15796
3,8,4068
3,9,4068
1,5,5413
1,6,5413
3,8,23327
3,9,23327
5,9,17880
5,10,17880
3,8,4068
3,9,4068
0,4,4196
0,5,4196
1,5,4196
1,6,4196
4,8,28190
4,9,28190
1,5,28190
1,6,28190
1,6,4196
1,7,4196
4,9,23327
4,10,23327
3,7,10184
3,8,10184
1,5,20059
1,6,20059
0,5,8180
0,6,8180
1,5,5413
1,6,5413
5,9,17880
5,10,17880
2,6,9714
2,7,9714
4,9,23327
4,10,23327
1,6,4196
1,7,4196
3,8,23327
3,9,23327
2,7,36477
2,8,36477
2,7,44083
2,8,44083
2,6,9714
2,7,9714
1,6,10184
1,7,10184
1,6,4196
1,7,4196
4,9,4068
4,10,4068
2,6,23327
2,7,23327
2,7,10184
2,8,10184
2,6,5413
2,7,5413
3,7,9714
3,8,9714
3,8,23327
3,9,23327
3,7,44083
3,8,44083
2,6,5413
2,7,5413
5,10,23327
5,11,23327
2,6,9714
2,7,9714
2,6,20059
2,7,20059
3,7,20059
3,8,20059
2,6,19339
2,7,19339
5,9,26048
5,10,26048
2,7,20182
2,8,20182
1,7,4196
1,8,4196
3,7,10184
3,8,10184
4,8,28190
4,9,28190
6,10,5413
6,11,5413
1,6,8180
1,7,8180
1,5,10397
1,6,10397
1,5,3012
1,6,3012
1,5,9276
1,6,9276
2,6,4196
2,7,4196
2,6,4196
2,7,4196
1,6,26182
1,7,26182
1,5,5413
1,6,5413
3,7,5413
3,8,5413
2,6,5413
2,7,5413
2,6,5413
2,7,5413
3,7,19764
3,8,19764
1,5,5413
1,6,5413
2,6,5413
2,7,5413
3,7,5413
3,8,5413
2,6,29490
2,7,29490
5,10,21771
5,11,21771
1,6,4196
1,7,4196
4,8,5413
4,9,5413
3,7,5413
3,8,5413
1,6,29490
1,7,29490
2,6,9276
2,7,9276
0,5,5413
0,6,5413
1,5,4196
1,6,4196
1,5,8180
1,6,8180
1,5,5413
1,6,5413
3,7,4196
3,8,4196
0,5,3012
0,6,3012
3,7,4196
3,8,4196
1,5,19764
1,6,19764
2,7,29490
2,8,29490
2,6,5413
2,7,5413
2,6,5413
2,7,5413
1,5,5413
1,6,5413
1,5,5413
1,6,5413
1,5,21771
1,6,21771
2,6,5413
2,7,5413
3,7,5413
3,8,5413
1,5,4196
1,6,4196
0,5,4196
0,6,4196
2,6,5413
2,7,5413
1,5,3012
1,6,3012
1,5,4196
1,6,4196
2,6,4196
2,7,4196
1,5,10184
1,6,10184
1,5,4196
1,6,4196
