0,8,1680
0,8,9334
2,9,3248
1,9,15412
2,9,1680
1,8,11446
2,10,309
1,8,28097
3,10,350
2,9,5934
1,8,35495
1,9,37935
1,8,37935
1,8,37935
2,9,44574
4,11,7980
3,10,6472
2,9,1902
2,9,28097
3,10,25605
2,9,327
1,9,14154
2,9,31544
4,11,26153
3,11,26153
4,11,7980
3,10,31544
3,10,26153
3,10,7980
2,9,19632
3,10,31544
5,12,26153
4,11,7980
3,10,19632
3,11,26153
3,10,26153
5,12,26153
1,8,19632
1,8,26153
3,10,31544
3,10,26153
3,10,26153
2,9,31544
2,9,19632
3,11,7980
3,10,19632
3,10,31544
2,9,31544
3,11,19632
2,10,31544
3,10,19632
3,11,19632
2,9,26153
2,9,19632
4,11,19632
2,9,19632
3,10,7980
3,10,31544
3,10,19632
4,11,19632
3,10,26153
2,9,31544
3,10,7980
3,10,19632
2,9,26153
3,10,7980
4,11,19632
2,9,26153
2,9,31544
2,9,19632
2,9,26153
4,11,7980
3,10,19632
1,9,26153
3,10,19632
2,10,31544
2,9,19632
2,9,26153
3,10,26153
3,10,7980
2,9,31544
2,10,31544
2,9,19632
2,9,19632
6,13,7980
1,8,19632
3,10,19632
3,10,7980
2,9,26153
3,10,7980
2,10,26153
2,9,19632
4,11,7980
3,10,19632
2,9,26153
1,8,26153
2,9,31544
5,12,7980
4,11,7980
2,9,31544
3,10,31544
1,8,26153
2,9,26153
3,10,26153
2,10,19632
3,10,26153
2,9,31544
2,10,31544
2,9,31544
4,12,7980
2,9,48188
2,9,16310
2,9,16310
3,10,42021
2,9,16310
3,10,42021
2,9,42021
3,10,48188
2,9,16310
2,9,48188
3,11,16310
2,9,48188
4,11,25605
2,10,48188
4,11,42021
2,10,42021
4,11,16310
3,10,16310
3,11,48188
1,9,25605
1,8,16310
2,9,16310
3,10,48188
2,9,16310
2,9,48188
2,9,42021
2,9,42021
2,9,48188
2,9,48188
4,11,16310
4,11,48188
2,10,16310
2,9,16310
3,10,42021
2,9,42021
2,10,48188
2,9,48188
4,11,48188
4,11,25605
2,10,42021
2,9,48188
1,8,16310
2,9,16310
3,10,48188
2,10,16310
2,9,16310
2,9,48188
5,13,25605
3,11,48188
3,11,48188
5,12,42021
2,9,16310
2,9,16310
2,9,48188
2,9,42021
2,9,48188
1,8,25605
2,9,16310
2,9,48188
3,11,42021
2,10,42021
13,20,16310
4,12,25605
4,11,42021
3,10,48188
3,10,42021
2,9,42021
3,9,42021
3,11,16310
4,11,48188
1,8,16310
4,11,16310
2,9,48188
3,10,16310
2,10,16310
4,11,48188
4,11,48188
4,11,25605
4,12,25605
2,10,42021
2,9,42021
4,11,16310
4,11,16310
4,11,48188
2,9,42021
3,10,16310
2,9,16310
4,11,16310
3,10,16310
1,8,16310
4,11,16310
1,8,35495
4,11,32795
3,10,32795
4,11,32795
3,11,32795
3,10,32795
3,10,32795
3,10,32795
4,12,1423
4,11,32795
3,10,31613
3,10,32795
4,11,35495
3,10,32795
3,11,35495
4,11,32795
2,10,1423
3,11,35495
1,9,31613
3,10,35495
4,11,35495
3,10,35495
3,10,32795
4,11,32795
2,9,31613
3,10,31613
3,11,35495
3,10,31613
4,11,32795
3,11,32795
3,11,31613
4,11,35495
3,11,32795
3,10,32795
4,11,32795
3,10,35495
3,10,1423
3,10,31613
4,12,35495
4,10,35495
2,10,31613
3,11,32795
3,11,31613
3,10,35495
3,10,32795
4,11,32795
3,11,35495
4,11,35495
4,11,32795
3,11,32795
2,9,35495
3,10,35495
3,10,32795
4,11,31613
4,12,32795
4,12,31613
3,10,35495
3,10,35495
4,11,32795
7,14,35495
3,10,31613
5,12,31613
4,12,35495
5,13,32795
3,10,32795
2,10,31613
3,10,35495
3,11,32795
2,9,32795
5,12,32795
3,10,35495
3,10,31613
4,11,35495
3,10,35495
3,10,32795
2,9,31613
5,13,34542
4,11,14154
4,11,15523
5,12,14154
5,12,34542
5,12,14154
1,9,14154
3,10,11446
0,8,34542
4,11,11446
3,11,15523
5,13,34542
5,13,34542
2,9,34542
4,11,34542
4,11,34542
1,8,34542
3,10,11446
4,11,34542
4,12,14154
4,11,14154
4,11,34542
6,14,14154
5,12,34542
5,12,34542
5,12,15523
4,11,34542
4,11,11446
3,10,15523
4,11,14154
4,11,15523
3,10,14154
5,12,34542
3,10,11446
4,11,34542
1,8,14154
4,11,11446
2,9,34542
3,10,11446
3,10,15523
3,11,15523
4,11,34542
3,10,14154
4,11,34542
6,14,34542
5,12,15523
7,14,11446
4,12,34542
1,8,34542
4,11,34542
4,11,34542
4,12,14154
4,11,34542
4,11,34542
5,12,14154
3,10,11446
4,11,11446
11,18,15523
4,12,34542
5,13,15523
4,11,15523
4,11,34542
4,11,34542
4,11,34542
4,12,14154
6,13,34542
4,11,34542
4,11,14154
4,12,11446
3,10,15523
4,11,34542
3,10,11446
4,11,11446
4,11,14154
3,10,11446
4,11,15523
5,12,34542
5,12,34542
3,10,11446
3,11,11446
4,11,34542
4,11,34542
6,13,14154
4,11,11446
4,10,11446
